story_id,entity,type
3354,"Sierra Leone",LOCATION
3354,"Sierra Leonean",LOCATION
3354,"Kono",PERSON
3663,"Freetown",LOCATION
3663,"Sierra Leone",LOCATION
3663,"West Africa",LOCATION
3663,"Ernest Bai Koroma",PERSON
3684,"Sylhet",LOCATION
3684,"Chittagong",LOCATION
3684,"WHO",ORGANIZATION
3684,"Dhaka",LOCATION
3684,"Bangladesh",LOCATION
48,"Lebanon",LOCATION
48,"Nusra Front",ORGANIZATION
48,"Hezbollah",ORGANIZATION
48,"Qalamoun",LOCATION
48,"Syria",LOCATION
48,"al Qaeda",ORGANIZATION
340,"Arsal",LOCATION
340,"Islamic State",ORGANIZATION
402,"Paracel Islands",LOCATION
402,"China",LOCATION
402,"Le Truong Hai Hieu",PERSON
402,"Ho Chin Minh City",LOCATION
402,"Thanh Nien",PERSON
402,"Vietnam",LOCATION
606,"Lebanon",LOCATION
606,"Syria",LOCATION
606,"AFP",ORGANIZATION
606,"Qalamun",LOCATION
606,"Hezbollah",ORGANIZATION
607,"Lebanon",LOCATION
607,"Israel",LOCATION
886,"West Bank",LOCATION
886,"Israel",LOCATION
886,"Jerusalem",LOCATION
1042,"Jamia Mosque",LOCATION
1042,"Nairobi",LOCATION
1735,"Lebanese Army",ORGANIZATION
1735,"Internal Security Forces",ORGANIZATION
1735,"Nusra Front",ORGANIZATION
1735,"Iraq",LOCATION
1735,"Hezbollah",ORGANIZATION
1735,"Army",ORGANIZATION
1735,"Committee of Muslim Scholars",ORGANIZATION
1735,"Syria",LOCATION
1735,"Greater Syria",LOCATION
1928,"Arsal",LOCATION
1928,"Observatory",ORGANIZATION
1928,"Syrian Observatory for Human Rights",ORGANIZATION
3297,"Golan Heights",LOCATION
3297,"Nusra",ORGANIZATION
3297,"Islamist Beit al Maqdis",ORGANIZATION
3297,"Quneitra",LOCATION
3297,"Abu Iyas al Horani",PERSON
3297,"Syria",LOCATION
3297,"Al Qaeda",ORGANIZATION
751,"Ukraine",LOCATION
751,"Security Council",ORGANIZATION
751,"ASG",ORGANIZATION
751,"UN Human Rights Monitoring Mission",ORGANIZATION
2862,"UN",ORGANIZATION
2862,"Ukraine",LOCATION
3225,"Marsa Matrouh",ORGANIZATION
3225,"Egypt",LOCATION
3225,"Libya",LOCATION
3225,"Alexandria",LOCATION
2980,"Omran",LOCATION
489,"Nusra Front",ORGANIZATION
2179,"Syria",LOCATION
2179,"Kobani",LOCATION
2179,"Islamic State",ORGANIZATION
2179,"Aleppo",LOCATION
2179,"Human Rights Watch",ORGANIZATION
2300,"Paktia province",LOCATION
2300,"ISIS",ORGANIZATION
2300,"Qari Amandullah",PERSON
2300,"Qari Khalid",PERSON
63,"Pakistan",LOCATION
63,"North Waziristan",LOCATION
63,"Taliban",ORGANIZATION
63,"Afghanistan",LOCATION
1067,"Mali",LOCATION
3428,"Socio-Economic Rights and Accountability Project",ORGANIZATION
3428,"UN",ORGANIZATION
1084,"Wais",PERSON
1084,"Musab bin Omair Mosque",LOCATION
1676,"Ahmed Seif al-Yafie",PERSON
1676,"Al-Yafie",PERSON
1676,"Shabwa province",LOCATION
1676,"Yemen",LOCATION
1676,"Azzan",LOCATION
1676,"Arabian Peninsula",LOCATION
2526,"Yemen",LOCATION
2526,"Saba",LOCATION
2641,"Raad",LOCATION
2641,"Sanaa",LOCATION
2641,"Damar",LOCATION
2641,"Shiite Houthi",ORGANIZATION
2641,"Baydah province",LOCATION
2641,"Red Sea",LOCATION
2721,"West Kordofan",LOCATION
2721,"East Darfur",LOCATION
2721,"Maaliya",LOCATION
2721,"Hamar",LOCATION
2721,"Darfur",LOCATION
548,"Lebanon",LOCATION
548,"Bashar al-Assad",PERSON
548,"Al Qaeda",ORGANIZATION
548,"Hezbollah",ORGANIZATION
548,"Nusra Front",ORGANIZATION
1204,"Lebanon",LOCATION
1204,"Islamic State",ORGANIZATION
1204,"Nusra Front",ORGANIZATION
1204,"Arsal",LOCATION
1204,"Syria",LOCATION
1204,"al Qaeda",ORGANIZATION
1271,"Abbas Medlej",PERSON
1271,"Lebanese Army",ORGANIZATION
1271,"Internal Security Forces",ORGANIZATION
1271,"Nusra Front",ORGANIZATION
1271,"Turkish news agency",ORGANIZATION
1271,"Arsal",LOCATION
1470,"Lebanese Army",ORGANIZATION
1470,"Arsal",LOCATION
1470,"Army",ORGANIZATION
1470,"Syria",LOCATION
1706,"Syria",LOCATION
1706,"Arsal",LOCATION
1706,"Islamic State",ORGANIZATION
1706,"al Qaeda",ORGANIZATION
1706,"Nusra Front",ORGANIZATION
